NM_001013411.2,Nkain2,mRNA
NM_001013412.2,Ccl26,mRNA
NM_001013414.3,Neurl4,mRNA
NM_001013441.2,Ric8b,mRNA
NM_001013575.5,Olfr112,mRNA
NM_001013577.1,Inip,mRNA
NM_001013580.4,Pard3,mRNA
NM_001013581.3,Pard3,mRNA
NM_001013607.1,Vmo1,mRNA
NM_001013608.3,Ercc6l2,mRNA
NM_001013609.2,Tex24,mRNA
NM_001013616.2,Trim6,mRNA
NM_001013741.1,Ddn,mRNA
NM_001013745.2,Zfp57,mRNA
NM_001013749.2,Tmem151b,mRNA
NM_001013750.1,Gm597,mRNA
NM_001013751.2,Syna,mRNA
NM_001013753.2,Pcdh17,mRNA
NM_001013754.2,Gm9949,mRNA
NM_001013755.3,5730409E04Rik,mRNA
NM_001013756.2,Grhl3,mRNA
NM_001013757.2,Vwde,mRNA
NM_001013758.2,Lingo3,mRNA
NM_001013759.2,Gas2l2,mRNA
NM_001013760.3,Cldn34b3,mRNA
NM_001013761.2,Gmnc,mRNA
NM_001013762.2,Gm4952,mRNA
NM_001013764.2,Ces1a,mRNA
NM_001013765.2,Zscan4c,mRNA
NM_001013766.2,Samd3,mRNA
NM_001013767.2,Capn11,mRNA
NM_001013769.1,Rsl1,mRNA
NM_001013770.4,Lipo3,mRNA
NM_001013771.2,Gm973,mRNA
NM_001013773.3,Nxpe5,mRNA
NM_001013774.2,Kpna7,mRNA
NM_001013776.4,Fbxw24,mRNA
NM_001013777.2,Zfp488,mRNA
NM_001013778.2,Tvp23a,mRNA
NM_001013779.2,Aim2,mRNA
NM_001013780.1,Slc25a34,mRNA
NM_001013783.2,Fam71b,mRNA
NM_001013784.1,Ccdc92b,mRNA
NM_001013785.3,Akr1c19,mRNA
NM_001013786.3,Zscan26,mRNA
NM_001013787.1,Vmn1r209,mRNA
NM_001013792.2,Otulin,mRNA
NM_001013797.2,Spink6,mRNA
NM_001013799.1,Mettl21c,mRNA
NM_001013802.3,Macrod2,mRNA
NM_001013804.2,Flg2,mRNA
NM_001013806.2,Ankrd13c,mRNA
NM_001013810.2,Gm5591,mRNA
NM_001013811.3,Fam169b,mRNA
NM_001013813.4,Maml2,mRNA
NM_001013814.2,Amt,mRNA
NM_001013816.1,Gm5622,mRNA
NM_001013817.2,Sp140,mRNA
NM_001013820.3,Slc22a28,mRNA
NM_001013823.1,Krtap4-16,mRNA
NM_001013824.3,Gm5662,mRNA
NM_001013826.2,Dupd1,mRNA
NM_001013829.2,Shf,mRNA
NM_001013832.2,Gpr31b,mRNA
NM_001013833.3,Prkg1,mRNA
NM_001014390.2,Dyrk2,mRNA
NM_001014394.2,Adgrf3,mRNA
NM_001014395.2,Fbxw22,mRNA
NM_001014397.4,Zfp985,mRNA
